antes,desp
22.5,18.7
21.1,18.0
13.5,9.7
17.9,13.5
16.2,12.1
15.9,14.1
27.6,24.0
18.3,15.8
26.3,24.8
22.1,21.9
24.7,20.0
20.0,20.6
21.2,20.6
19.9,15.5
15.1,16.2
23.6,25.0
16.5,11.9
12.4,9.3
22.3,23.0
14.8,15.1
27.0,23.3
27.3,23.7
26.6,24.2
17.9,16.3
12.2,11.6
26.9,24.4
18.9,17.1
27.5,27.7
27.4,22.7
25.6,22.4
16.7,16.7
18.2,19.4
25.6,24.2
17.1,15.8
14.7,10.5
20.9,19.0
27.0,25.7
23.1,19.8
21.1,18.0
13.6,11.2
21.8,17.0
27.8,25.1
14.2,10.7
20.3,17.6
26.0,21.9
23.9,25.1
23.2,22.3
23.2,23.0
17.8,18.3
16.7,15.2
24.9,20.6
25.0,23.7
25.9,25.0
26.6,26.8
20.2,18.2
20.0,15.9
24.8,21.8
22.4,19.9
23.2,22.8
24.7,23.7
26.2,23.7
17.4,19.3
18.0,17.2
13.5,10.2
21.3,17.0
12.6,8.6
19.4,16.2
20.7,16.8
16.6,12.9
21.5,18.4
12.5,8.7
12.6,13.9
25.2,20.7
17.8,16.4
14.0,11.9
20.4,22.2
24.3,20.1
15.5,13.2
22.0,23.8
13.4,14.4
12.8,13.5
20.5,17.3
20.7,16.8
22.2,21.9
23.6,25.1
27.6,26.5
20.3,19.3
17.2,14.1
24.7,25.1
16.3,12.6
19.0,16.3
13.3,11.2
12.4,11.0
27.4,24.1
25.4,21.2
23.1,22.4
18.5,15.6
14.8,13.8
14.5,10.6
16.0,14.4
20.8,19.5
23.4,18.8
22.6,19.9
16.5,12.4
27.3,22.7
23.8,25.7
20.9,18.1
21.8,22.5
18.7,15.5
16.0,15.7
17.7,18.0
24.1,23.3
12.2,10.5
13.9,11.7
12.7,10.2
12.7,14.2
25.7,26.5
23.3,25.0
19.6,15.5
13.6,13.7
19.9,21.4
19.6,15.8
14.8,10.2
18.9,19.1
18.4,17.4
21.9,22.7
22.2,18.1
12.7,13.3
18.0,14.4
22.0,18.2
20.1,16.2
25.7,26.4
22.5,22.2
14.6,13.3
13.1,10.6
22.3,23.4
12.4,10.2
21.4,22.1
27.0,25.1
21.2,18.8
18.2,16.4
22.3,19.4
19.3,19.6
20.7,19.2
27.1,23.7
18.2,19.5
27.4,25.1
26.5,25.3
15.1,16.5
13.1,12.5
13.6,9.4
12.3,13.9
13.5,12.9
22.9,20.3
13.1,9.1
17.1,17.7
25.5,24.9
12.4,11.1
25.0,26.3
16.5,17.0
