A,B,C
14.2,42.0,27.9
18.2,44.6,33.2
17.1,43.2,33.4
21.5,40.5,25.3
19.9,45.8,24.7
19.5,48.7,30.7
21.3,36.9,33.2
18.7,48.4,26.2
18.1,51.7,31.1
13.9,39.0,29.7
13.4,51.6,23.6
13.7,42.1,28.8
22.4,37.3,23.2
17.5,39.7,22.2
20.4,44.9,25.0
19.0,53.1,31.9
14.3,48.6,28.6
20.3,47.0,31.8
19.1,43.2,26.9
12.6,45.8,33.0
16.3,48.0,25.4
17.4,39.8,30.1
20.2,45.4,31.8
15.8,44.6,21.8
21.7,38.4,26.0
13.1,42.2,32.1
20.0,43.9,34.7
22.2,51.6,24.2
18.3,40.9,22.5
20.3,48.4,32.1
17.6,51.2,31.3
16.1,52.0,32.5
12.6,43.6,25.1
12.4,38.9,25.3
13.7,49.9,34.0
14.7,45.3,22.1
12.8,45.0,27.2
14.5,51.3,32.3
15.9,51.4,29.7
18.7,50.8,23.6
18.3,45.8,28.5
21.3,48.0,27.8
21.4,40.5,21.7
20.2,52.7,23.1
18.0,44.6,26.1
17.3,42.8,31.5
16.4,48.2,27.7
19.0,42.7,33.8
18.8,48.1,25.5
17.1,40.7,32.8
15.0,37.5,22.9
20.1,45.0,25.8
12.3,52.0,27.5
19.8,39.6,30.5
22.7,46.6,33.2
20.5,50.1,23.5
12.6,38.2,27.6
16.7,45.2,24.8
17.4,49.6,28.0
15.4,39.9,23.4
15.9,51.7,33.1
14.9,50.1,22.0
17.6,45.4,34.3
12.4,51.0,32.7
14.8,42.6,23.7
13.7,53.1,31.1
15.9,42.1,22.0
19.3,48.2,23.7
20.0,52.1,27.5
22.3,43.0,27.7
20.2,50.3,27.4
13.1,41.9,33.1
12.9,42.3,30.8
20.5,42.2,22.8
22.2,45.1,22.7
19.6,46.7,27.5
12.9,48.1,26.6
12.7,47.9,24.2
16.5,45.1,33.1
15.8,39.4,22.9
16.8,42.6,26.9
21.3,41.3,21.8
20.7,45.8,24.7
20.8,50.6,27.9
19.3,40.5,28.0
13.1,41.2,21.9
16.5,51.5,25.9
17.8,42.0,30.4
19.9,49.3,22.8
19.7,48.3,28.4
14.3,42.6,30.6
16.9,39.3,24.1
16.4,51.5,31.9
19.1,40.3,25.5
22.1,51.4,33.4
18.8,51.1,27.5
17.9,43.8,23.7
16.0,47.8,32.9
16.8,47.0,29.2
18.9,49.9,30.8
21.3,41.7,25.5
16.9,49.3,33.6
17.7,48.8,24.1
19.6,51.3,33.5
15.8,50.4,26.4
21.0,51.2,23.9
20.0,45.7,22.6
17.5,39.5,30.5
22.8,42.9,34.1
18.7,45.3,32.6
18.7,49.2,32.4
15.6,40.4,28.1
17.6,43.9,30.9
16.0,47.8,30.1
21.9,37.4,26.3
19.2,40.5,29.2
13.4,52.9,26.6
16.3,48.0,30.7
20.7,43.7,25.9
15.2,45.3,31.5
18.7,45.2,29.6
19.0,53.3,24.1
20.5,38.3,29.9
21.3,39.9,23.5
21.0,52.0,32.9
13.6,50.8,24.4
22.7,47.4,28.7
19.7,42.6,31.1
12.3,42.0,24.0
18.3,50.5,21.6
21.5,50.8,34.4
13.7,50.5,33.6
20.2,45.3,32.4
14.6,44.7,30.5
12.3,42.6,24.1
13.9,42.1,31.5
13.2,47.2,26.7
17.1,45.3,32.0
20.0,50.1,21.6
16.8,42.6,24.3
22.4,45.2,24.6
21.1,43.8,25.2
20.7,37.9,32.2
19.9,48.1,28.1
21.5,51.3,31.6
21.5,45.3,27.5
13.7,44.3,30.1
13.9,53.5,25.3
18.1,47.7,34.6
17.5,43.8,34.2
15.5,37.0,23.2
17.4,37.4,29.3
22.5,47.2,28.6
13.0,50.6,21.7
18.0,52.4,32.2
20.3,51.4,27.9
13.5,41.1,31.4
16.3,41.7,32.1
20.5,45.8,24.9
20.7,37.7,29.4
18.2,40.8,30.2
14.4,48.6,31.1
13.8,44.3,27.1
19.0,40.4,22.7
20.5,49.0,31.7
19.1,50.7,34.4
17.0,43.5,33.1
20.4,51.5,33.4
17.9,38.2,23.7
19.5,44.2,32.5
16.2,52.5,27.4
21.7,45.4,24.9
18.3,42.2,33.8
17.8,39.2,22.2
15.9,44.1,27.3
16.1,45.6,21.9
22.2,51.0,29.1
17.4,37.7,33.9
20.4,44.3,24.8
22.7,37.6,34.6
18.9,52.1,34.8
19.7,51.7,25.7
13.8,39.4,23.9
14.8,45.0,22.5
17.2,50.3,23.4
15.4,51.2,23.0
16.3,45.3,21.8
12.5,41.1,27.2
12.7,52.9,22.5
21.3,39.9,23.7
16.0,37.0,33.0
18.4,45.3,22.0
17.9,48.6,26.7
13.1,50.8,21.9
13.5,46.0,21.9
20.2,50.8,32.5
19.5,53.5,25.8
21.5,39.0,27.1
13.8,46.8,31.9
20.6,52.6,31.5
15.6,48.0,22.2
17.6,48.2,34.0
16.0,51.5,33.1
16.1,40.3,26.3
20.8,39.9,27.7
13.5,52.2,24.7
16.7,40.0,25.0
16.0,40.1,26.6
18.4,42.7,33.9
13.8,46.8,31.8
20.9,40.1,24.8
15.4,49.5,23.5
20.8,50.6,24.0
13.9,42.3,22.8
18.5,39.7,26.8
22.7,40.5,34.5
13.1,51.2,31.7
12.5,45.3,26.1
19.4,39.2,33.3
22.7,47.3,29.4
15.6,45.3,22.3
13.0,43.1,22.9
16.6,49.0,30.2
16.4,41.2,34.3
17.9,49.9,25.4
15.4,45.4,25.8
14.7,40.1,25.8
14.9,47.7,33.4
